Lexeme               Line#  TokenName            Value        ParentNodeSym             isLeaf NodeSym
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          termPrime                 no     factor
eps                  0      eps                  ---          termPrime                 yes    ---
----                 0      termPrime            ---          termPrime                 no     termPrime
----                 0      arithmeticExpression ---          assignmentStmt            no     arithmeticExpression
eps                  0      eps                  ---          expPrime                  yes    ---
----                 0      expPrime             ---          arithmeticExpression      no     expPrime
;                    15     TK_SEM               ---          assignmentStmt            yes    ---
----                 0      stmt                 ---          conditionalStmt           no     stmt
eps                  0      eps                  ---          otherStmts                yes    ---
----                 0      otherStmts           ---          conditionalStmt           no     otherStmts
else                 16     TK_ELSE              ---          elsePart                  yes    ---
----                 0      elsePart             ---          conditionalStmt           no     elsePart
write                17     TK_WRITE             ---          ioStmt                    yes    ---
----                 0      ioStmt               ---          stmt                      no     ioStmt
(                    17     TK_OP                ---          ioStmt                    yes    ---
c4bbb                17     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          var                       no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      var                  ---          ioStmt                    no     var
)                    17     TK_CL                ---          ioStmt                    yes    ---
;                    17     TK_SEM               ---          ioStmt                    yes    ---
----                 0      stmt                 ---          elsePart                  no     stmt
eps                  0      eps                  ---          otherStmts                yes    ---
----                 0      otherStmts           ---          elsePart                  no     otherStmts
endif                18     TK_ENDIF             ---          elsePart                  yes    ---
----                 0      stmt                 ---          otherStmts                no     stmt
----                 0      otherStmts           ---          otherStmts                no     otherStmts
eps                  0      eps                  ---          otherStmts                yes    ---
----                 0      otherStmts           ---          otherStmts                no     otherStmts
return               20     TK_RETURN            ---          returnStmt                yes    ---
----                 0      returnStmt           ---          stmts                     no     returnStmt
[                    20     TK_SQL               ---          optionalReturn            yes    ---
----                 0      optionalReturn       ---          returnStmt                no     optionalReturn
c6                   20     TK_ID                ---          idList                    yes    ---
----                 0      idList               ---          optionalReturn            no     idList
eps                  0      eps                  ---          moreIds                   yes    ---
----                 0      moreIds              ---          idList                    no     moreIds
]                    20     TK_SQR               ---          optionalReturn            yes    ---
;                    20     TK_SEM               ---          returnStmt                yes    ---
end                  21     TK_END               ---          function                  yes    ---
----                 0      otherFunctions       ---          program                   no     otherFunctions
eps                  0      eps                  ---          otherFunctions            yes    ---
----                 0      otherFunctions       ---          otherFunctions            no     otherFunctions
----                 0      program              ---          ROOT                      no     program
_main                25     TK_MAIN              ---          mainFunction              yes    ---
----                 0      mainFunction         ---          program                   no     mainFunction
eps                  0      eps                  ---          typeDefinitions           yes    ---
----                 0      typeDefinitions      ---          stmts                     no     typeDefinitions
----                 0      stmts                ---          mainFunction              no     stmts
type                 26     TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
int                  26     TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    26     TK_COLON             ---          declaration               yes    ---
b5                   26     TK_ID                ---          declaration               yes    ---
eps                  0      eps                  ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
;                    26     TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          stmts                     no     declarations
type                 27     TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
int                  27     TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    27     TK_COLON             ---          declaration               yes    ---
d5cb34567            27     TK_ID                ---          declaration               yes    ---
eps                  0      eps                  ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
;                    27     TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          declarations              no     declarations
type                 28     TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
int                  28     TK_INT               ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    28     TK_COLON             ---          declaration               yes    ---
b3b444               28     TK_ID                ---          declaration               yes    ---
:                    28     TK_COLON             ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
global               28     TK_GLOBAL            ---          global_or_not             yes    ---
;                    28     TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          declarations              no     declarations
type                 29     TK_TYPE              ---          declaration               yes    ---
----                 0      declaration          ---          declarations              no     declaration
real                 29     TK_REAL              ---          primitiveDatatype         yes    ---
----                 0      primitiveDatatype    ---          dataType                  no     primitiveDatatype
----                 0      dataType             ---          declaration               no     dataType
:                    29     TK_COLON             ---          declaration               yes    ---
c3                   29     TK_ID                ---          declaration               yes    ---
eps                  0      eps                  ---          global_or_not             yes    ---
----                 0      global_or_not        ---          declaration               no     global_or_not
;                    29     TK_SEM               ---          declaration               yes    ---
----                 0      declarations         ---          declarations              no     declarations
eps                  0      eps                  ---          declarations              yes    ---
----                 0      declarations         ---          declarations              no     declarations
b5                   30     TK_ID                ---          singleOrRecId             yes    ---
----                 0      singleOrRecId        ---          assignmentStmt            no     singleOrRecId
eps                  0      eps                  ---          optionSingleConstr        yes    ---
----                 0      optionSingleConstr   ---          singleOrRecId             no     optionSingleConstr
----                 0      assignmentStmt       ---          stmt                      no     assignmentStmt
<---                 30     TK_ASSIGNOP          ---          assignmentStmt            yes    ---
1                    30     TK_NUM               1            var                       yes    ---
----                 0      var                  ---          factor                    no     var
----                 0      factor               ---          term                      no     factor
----                 0      term                 ---          arithmeticExpression      no     term
